Date,Price,Market_Cap
2013-08-04,0.00587384,45921034
2013-08-05,0.00565258,44191247
2013-08-06,0.00466886,36500633
2013-08-07,0.00448605,35071445
2013-08-08,0.00419553,32800191
2013-08-09,0.00427738,33440085
2013-08-10,0.00431834,33760306
2013-08-11,0.00437208,34180440
2013-08-12,0.00439693,34374714
2013-08-13,0.0042276,33050911
2013-08-14,0.00384587,30066588
2013-08-15,0.00332756,26014497
2013-08-16,0.0029013,22682044
2013-08-17,0.00549521,42960946
2013-08-18,0.00619764,48452466
2013-08-19,0.00555976,43465591
2013-08-20,0.00606081,47382745
2013-08-21,0.00633807,49550333
2013-08-22,0.0059671,46650130
2013-08-23,0.0051352,40146428
2013-08-24,0.00552798,43217138
2013-08-25,0.00609973,47687017
2013-08-26,0.0064659,50549694
2013-08-27,0.00641998,50190696
2013-08-28,0.00634881,49634297
2013-08-29,0.00582002,45500275
2013-08-30,0.00604502,47259300
2013-08-31,0.00586333,45838868
2013-09-01,0.00580064,45348764
2013-09-02,0.00562712,43992204
2013-09-03,0.00567312,44351827
2013-09-04,0.005577,43600371
2013-09-05,0.00583863,45645766
2013-09-06,0.0059111,46212328
2013-09-07,0.006188,48377102
2013-09-08,0.00614238,48020450
2013-09-09,0.00618881,48383435
2013-09-10,0.00585396,45765614
2013-09-11,0.00608146,47544184
2013-09-12,0.00642623,50239558
2013-09-13,0.0065889,51511294
2013-09-14,0.00634135,49575975
2013-09-15,0.0064294,50264341
2013-09-16,0.00704318,55062805
2013-09-17,0.00961002,75130077
2013-09-18,0.0108464,84795960
2013-09-19,0.0111217,86948225
2013-09-20,0.0101137,79067792
2013-09-21,0.00974518,76186743
2013-09-22,0.0104008,81312308
2013-09-23,0.0100193,78329783
2013-09-24,0.010433,81564044
2013-09-25,0.0105899,82790671
2013-09-26,0.011676,91281681
2013-09-28,0.0143469,112162483
2013-09-29,0.0141405,110548871
2013-09-30,0.0110409,86316539
2013-10-01,0.0119368,93320587
2013-10-02,0.00930593,72752735
2013-10-03,0.00840092,65677467
2013-10-04,0.00946689,74011103
2013-10-05,0.0092795,72546108
2013-10-06,0.0103753,81112952
2013-10-07,0.00933073,72946619
2013-10-08,0.00971878,75980351
2013-10-09,0.00944168,73814014
2013-10-10,0.010089,78874690
2013-10-11,0.00906698,70884650
2013-10-12,0.00891616,69705556
2013-10-13,0.00889263,69521601
2013-10-14,0.00853884,66755710
2013-10-15,0.00798699,62441408
2013-10-16,0.00758473,59296583
2013-10-17,0.00776452,60702162
2013-10-18,0.00776709,60722254
2013-10-19,0.00729291,57015167
2013-10-20,0.00753032,58871212
2013-10-21,0.00674171,52705946
2013-10-22,0.00678454,53040786
2013-10-23,0.0074298,58085358
2013-10-24,0.00872816,68235793
2013-10-25,0.00693994,54255686
2013-10-26,0.00630711,49308291
