집계일자,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량,
20220601,0,1,00,0,245625,6857,17564,16850,5476,2469,294841,
20220601,0,1,00,1,48142,1159,2376,1844,906,5911,60338,
20220601,0,1,01,0,3240,96,344,420,132,23,4255,
20220601,0,1,45,0,543,31,133,146,40,66,959,
20220601,0,1,02,0,7399,172,334,325,83,82,8395,
20220601,0,1,18,0,5686,232,860,903,376,53,8110,
20220601,0,1,34,0,3170,68,121,199,30,19,3607,
20220601,0,1,28,0,4329,115,153,101,47,391,5136,
20220601,0,1,37,0,1477,65,163,455,134,25,2319,
20220601,0,1,48,0,921,47,209,239,41,144,1601,
20220601,0,1,49,0,1271,31,116,92,16,13,1539,
20220601,0,1,46,0,231,6,31,31,12,36,347,
20220601,0,1,08,0,10221,147,381,477,474,103,11803,
20220601,0,1,08,1,7737,29,35,12,7,53,7873,
20220601,0,1,10,0,8688,150,240,201,40,73,9392,
20220601,0,1,10,1,384,14,25,11,13,46,493,
20220601,0,1,11,0,9405,244,626,497,170,288,11230,
20220601,0,1,44,0,6427,266,513,341,213,957,8717,
20220601,0,1,44,1,264,6,11,2,0,32,315,
20220601,0,1,42,1,11251,222,294,292,772,615,13446,
20220601,0,1,26,1,3715,36,94,127,55,613,4640,
20220601,0,1,43,1,930,8,14,35,17,13,1017,
20220601,0,2,00,0,1952077,51471,55342,42750,89405,75639,2266684,
20220601,0,2,00,1,476201,10173,7672,6595,11826,22260,534727,
20220601,0,2,01,0,103684,1828,5289,4509,7509,2250,125069,
20220601,0,2,45,0,29068,555,1611,2077,3633,921,37865,
20220601,0,2,02,0,85914,2363,1881,1870,4687,2896,99611,
20220601,0,2,18,0,54249,2040,2788,2328,7085,2318,70808,
20220601,0,2,34,0,62368,1076,1374,496,1633,2106,69053,
20220601,0,2,28,0,46099,960,587,384,548,2504,51082,
20220601,0,2,37,0,10721,291,205,304,1990,777,14288,
20220601,0,2,48,0,44472,1149,633,776,2929,1857,51816,
20220601,0,2,49,0,59492,1637,1007,1420,1409,2252,67217,
20220601,0,2,46,0,4214,141,256,268,620,127,5626,
20220601,0,2,08,0,74287,787,936,634,4364,3276,84284,
20220601,0,2,08,1,4226,11,13,3,29,193,4475,
20220601,0,2,10,0,104233,1298,1797,790,1164,3817,113099,
20220601,0,2,10,1,4808,80,61,50,307,243,5549,
20220601,0,2,11,0,87832,2024,1651,1481,2516,4054,99558,
20220601,0,2,24,1,3365,53,109,0,0,76,3603,
20220601,0,2,44,0,79893,2042,1401,1442,5621,4294,94693,
20220601,0,2,44,1,2621,22,107,7,3,131,2891,
20220601,0,2,27,1,31468,262,124,67,277,1735,33933,
20220601,0,2,26,1,15779,95,85,5,12,1236,17212,
20220601,0,2,43,1,9933,87,34,35,156,384,10629,
20220601,1,1,00,0,253635,7000,17990,17719,5675,28032,330051,
20220601,1,1,00,1,48890,1245,2321,2192,982,5954,61584,
20220601,1,1,01,0,3236,86,389,329,151,285,4476,
20220601,1,1,45,0,771,33,122,178,25,77,1206,
20220601,1,1,02,0,7321,156,389,388,98,799,9151,
20220601,1,1,18,0,5552,205,819,864,359,522,8321,
20220601,1,1,34,0,2948,64,136,131,35,293,3607,
20220601,1,1,28,0,4703,111,157,132,55,646,5804,
20220601,1,1,37,0,1426,64,158,253,146,196,2243,
20220601,1,1,48,0,1345,60,194,276,57,184,2116,
20220601,1,1,49,0,1526,37,132,112,24,225,2056,
20220601,1,1,46,0,292,7,41,19,10,40,409,
20220601,1,1,08,0,9272,141,364,683,306,1245,12011,
20220601,1,1,08,1,8184,25,33,20,21,71,8354,
20220601,1,1,10,0,9001,153,267,196,44,909,10570,
20220601,1,1,10,1,536,12,15,19,9,57,648,
20220601,1,1,11,0,9072,244,660,541,203,1129,11849,
