"집계일자","입출구구분코드","TCS하이패스구분코드","고속도로운영기관구분코드","영업형태구분코드","1종교통량","2종교통량","3종교통량","4종교통량","5종교통량","6종교통량","총교통량",
"2023-09-01","0","1","00","0","227024","9813","30791","26647","7928","2600","304803",
"2023-09-01","0","1","00","1","44309","2090","3479","2999","1354","6141","60372",
"2023-09-01","0","1","08","0","8786","253","938","761","544","84","11366",
"2023-09-01","0","1","08","1","2847","0","86","26","13","21","2993",
"2023-09-01","0","1","26","1","6656","115","347","231","170","833","8352",
"2023-09-01","0","1","44","0","6806","465","753","749","203","1281","10257",
"2023-09-01","0","1","44","1","351","8","16","5","2","65","447",
"2023-09-01","0","1","42","1","19022","543","671","615","938","1180","22969",
"2023-09-01","0","1","43","1","1292","35","38","50","15","32","1462",
"2023-09-01","0","1","10","0","7447","217","383","280","58","84","8469",
"2023-09-01","0","1","10","1","503","17","24","43","27","83","697",
"2023-09-01","0","1","18","0","5277","475","1895","1476","568","43","9734",
"2023-09-01","0","1","45","0","646","30","225","203","45","54","1203",
"2023-09-01","0","1","34","0","2816","80","208","295","49","37","3485",
"2023-09-01","0","1","28","0","5345","198","261","183","64","558","6609",
"2023-09-01","0","1","37","0","1595","108","553","1057","307","34","3654",
"2023-09-01","0","1","48","0","1325","171","469","291","41","213","2510",
"2023-09-01","0","1","01","0","3627","160","551","767","271","38","5414",
"2023-09-01","0","1","49","0","1472","106","279","236","22","22","2137",
"2023-09-01","0","1","46","0","415","6","64","49","9","47","590",
"2023-09-01","0","1","11","0","11860","451","1205","896","259","420","15091",
"2023-09-01","0","1","02","0","6551","300","620","473","122","87","8153",
"2023-09-01","0","2","00","0","2523748","88797","96009","80751","137529","113894","3040728",
"2023-09-01","0","2","00","1","583969","17681","13666","10674","16579","32136","674705",
"2023-09-01","0","2","27","1","41149","348","208","321","203","2729","44958",
"2023-09-01","0","2","08","0","74476","1482","1823","1536","7466","3860","90643",
"2023-09-01","0","2","08","1","2110","20","24","12","14","94","2274",
"2023-09-01","0","2","26","1","18757","211","143","11","27","2071","21220",
"2023-09-01","0","2","44","0","112634","3992","2506","2827","6225","8011","136195",
"2023-09-01","0","2","44","1","5009","45","136","16","19","329","5554",
"2023-09-01","0","2","43","1","18613","174","92","94","153","894","20020",
"2023-09-01","0","2","24","1","3548","70","139","0","0","75","3832",
"2023-09-01","0","2","10","0","115919","2144","2357","1343","1476","4920","128159",
"2023-09-01","0","2","10","1","7670","164","104","210","222","479","8849",
"2023-09-01","0","2","18","0","80374","5487","6628","5862","12288","3643","114282",
"2023-09-01","0","2","45","0","38389","1067","2564","3765","4929","1230","51944",
