집계일자,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량
2024-01-27,0,1,0,0,205411,4186,12642,10525,3286,1984,238034
2024-01-27,0,1,0,1,40711,924,1755,1172,777,4975,50314
2024-01-27,0,1,8,0,9140,120,412,343,371,49,10435
2024-01-27,0,1,8,1,7951,0,77,7,24,24,8083
2024-01-27,0,1,26,1,6325,65,119,117,38,636,7300
2024-01-27,0,1,44,0,5332,169,321,186,146,747,6901
2024-01-27,0,1,44,1,298,5,11,0,1,40,355
2024-01-27,0,1,42,1,12584,162,307,128,514,709,14404
2024-01-27,0,1,43,1,1020,13,14,13,23,6,1089
2024-01-27,0,1,10,0,6745,129,194,96,25,37,7226
2024-01-27,0,1,10,1,330,10,7,3,2,44,396
2024-01-27,0,1,18,0,4614,118,686,477,179,27,6101
2024-01-27,0,1,45,0,500,20,80,96,13,49,758
2024-01-27,0,1,34,0,2642,40,90,73,23,16,2884
2024-01-27,0,1,28,0,4848,95,155,59,26,361,5544
2024-01-27,0,1,37,0,1260,27,132,347,50,26,1842
2024-01-27,0,1,48,0,876,47,154,94,25,138,1334
2024-01-27,0,1,1,0,3024,69,167,181,72,12,3525
2024-01-27,0,1,49,0,1114,29,96,72,6,7,1324
2024-01-27,0,1,46,0,250,4,25,20,5,30,334
2024-01-27,0,1,11,0,9261,171,355,280,73,309,10449
2024-01-27,0,1,2,0,6755,149,337,237,54,59,7591
2024-01-27,0,2,0,0,2342766,41114,59996,36408,68084,91858,2640226
2024-01-27,0,2,0,1,534737,7475,8174,4474,8604,25324,588788
2024-01-27,0,2,27,1,36916,242,156,79,106,2012,39511
2024-01-27,0,2,8,0,83613,766,1210,748,4579,3732,94648
2024-01-27,0,2,8,1,3824,15,21,4,14,143,4021
2024-01-27,0,2,26,1,18108,112,117,4,25,1710,20076
2024-01-27,0,2,44,0,96385,1574,1470,945,3820,5654,109848
2024-01-27,0,2,44,1,3867,29,100,2,3,209,4210
2024-01-27,0,2,43,1,14075,92,27,49,229,597,15069
2024-01-27,0,2,24,1,6390,29,118,0,0,76,6613
2024-01-27,0,2,10,0,114640,917,1715,780,628,4103,122783
2024-01-27,0,2,10,1,5022,42,35,36,113,243,5491
2024-01-27,0,2,18,0,72199,1678,3300,2386,5317,3124,88004
2024-01-27,0,2,45,0,35802,340,1686,1508,2640,1069,43045
2024-01-27,0,2,34,0,73449,838,1445,406,890,2356,79384
2024-01-27,0,2,28,0,66389,771,876,481,530,3400,72447
2024-01-27,0,2,37,0,12183,281,329,733,1700,938,16164
2024-01-27,0,2,48,0,52158,1077,729,692,2297,2546,59499
2024-01-27,0,2,1,0,129767,1298,5972,2468,4307,2940,146752
2024-01-27,0,2,49,0,77978,1572,1179,1582,1361,3390,87062
2024-01-27,0,2,46,0,5773,109,243,185,654,203,7167
2024-01-27,0,2,11,0,108572,1519,1750,1262,1719,4965,119787
2024-01-27,0,2,2,0,111526,1807,1962,2013,3618,3719,124645
2024-01-27,1,1,0,0,216691,4595,13398,11788,3452,26057,275981
2024-01-27,1,1,0,1,41242,898,1697,1107,511,5165,50620
2024-01-27,1,1,8,0,7890,124,352,562,207,1042,10177
2024-01-27,1,1,8,1,9584,36,53,10,28,44,9755
2024-01-27,1,1,26,1,8022,65,145,123,62,923,9340
2024-01-27,1,1,44,0,7396,225,361,229,142,992,9345
2024-01-27,1,1,44,1,426,8,3,1,0,48,486
2024-01-27,1,1,42,1,11295,164,294,118,511,625,13007
2024-01-27,1,1,43,1,5048,80,166,163,38,616,6111
2024-01-27,1,1,24,1,4044,22,110,0,0,62,4238
2024-01-27,1,1,10,0,6460,107,237,121,33,717,7675
2024-01-27,1,1,10,1,352,11,5,8,2,67,445
2024-01-27,1,1,18,0,4438,111,624,466,142,496,6277
2024-01-27,1,1,45,0,727,21,67,110,20,77,1022
2024-01-27,1,1,34,0,2290,36,93,80,18,266,2783
2024-01-27,1,1,28,0,5024,87,142,90,23,618,5984
2024-01-27,1,1,37,0,1240,23,141,235,100,223,1962
